num,Informatiksicherheit,Geschlecht,Altersklasse,Bildungsstand,Jahr,Absolut / relativ,Resultat
27426,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
30.3,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
10.2,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
79298,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Wert
29106,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
27.7,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
9.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
79252,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Wert
29691,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
35.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
11.3,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
126816,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anzahl Personen,Wert
40032,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
46.7,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
11.7,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
271475,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
41981,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
33,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
4.8,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
304399,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2019,Anzahl Personen,Wert
46073,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2019,Anzahl Personen,Konfidenzintervall +/-
35,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2019,Anteil (in % der Gesamtbevölkerung),Wert
4.8,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
263909,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2017,Anzahl Personen,Wert
44558,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2017,Anzahl Personen,Konfidenzintervall +/-
29.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2017,Anteil (in % der Gesamtbevölkerung),Wert
4.7,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
334256,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2014,Anzahl Personen,Wert
45853,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2014,Anzahl Personen,Konfidenzintervall +/-
35.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2014,Anteil (in % der Gesamtbevölkerung),Wert
4.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1253680,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
86377,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
33.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
2.3,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1358702,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2019,Anzahl Personen,Wert
90006,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2019,Anzahl Personen,Konfidenzintervall +/-
37.7,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Wert
2.5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1176151,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2017,Anzahl Personen,Wert
85811,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2017,Anzahl Personen,Konfidenzintervall +/-
32.3,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Wert
2.4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1249932,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2014,Anzahl Personen,Wert
93807,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2014,Anzahl Personen,Konfidenzintervall +/-
35.4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Wert
2.5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
103140,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
30586,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
19.5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
5.3,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
139324,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Wert
37026,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
23.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
5.7,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
138464,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Wert
35679,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
21.4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
64545,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Wert
27674,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
16.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
6.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
386434,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
55292,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
30.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
483210,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anzahl Personen,Wert
63523,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
33.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
3.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
456547,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anzahl Personen,Wert
59336,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
29.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
3.4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
472802,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anzahl Personen,Wert
65335,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
29.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
3.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
764106,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
73460,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
40,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3.4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
736168,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Wert
74689,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
46.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
3.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
581141,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Wert
67872,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
40.8,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
712585,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anzahl Personen,Wert
77557,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
46.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
4.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2019,Anzahl Personen,Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2019,Anzahl Personen,Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2019,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2017,Anzahl Personen,Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2017,Anzahl Personen,Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2017,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2014,Anzahl Personen,Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2014,Anzahl Personen,Konfidenzintervall +/-
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2014,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
535790,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Wert
58409,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
26.6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
2.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
552486,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2019,Anzahl Personen,Wert
58665,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2019,Anzahl Personen,Konfidenzintervall +/-
29.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Wert
3.1,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
423363,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2017,Anzahl Personen,Wert
52892,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2017,Anzahl Personen,Konfidenzintervall +/-
23.4,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Wert
2.9,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
320538,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2014,Anzahl Personen,Wert
47588,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2014,Anzahl Personen,Konfidenzintervall +/-
17,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Wert
2.5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
92905,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Wert
28727,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
21.5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
6,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
56292,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Wert
21592,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
12.3,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
4.5,Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Wert
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
""".....""",Erstellen von Sicherheitskopien (mindestens einmal pro Monat),Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
