num,Internetzugang,Sprachgebiet,Haushaltsgrösse,Subjektive finanzielle Situation des Haushalts,Jahr,Absolut / relativ,Resultat
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
275573,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Wert
32443,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Konfidenzintervall +/-
84,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Wert
5.1,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
230629,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Wert
32477,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Konfidenzintervall +/-
81.6,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Wert
5.3,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,2-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
93216,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Wert
17120,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Konfidenzintervall +/-
92.4,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Wert
5.2,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
94723,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Wert
20096,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Konfidenzintervall +/-
93.1,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Wert
5.5,Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Wert
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Breitbandanschluss (bis 2017),Französische Schweiz,3-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Wert
