num,E-commerce: gekaufte Produkte,Geschlecht,Altersklasse,Bildungsstand,Jahr,Absolut / relativ,Resultat
25.8," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
5.7," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
467108," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
58040," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
44.4," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.6," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
141884," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Wert
32773," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
14.4," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
3.2," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
72111," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
23996," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
17.5," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
5.4," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
65523," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
22771," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
14.9," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.9," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Mann,60 Jahre und älter,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
856734," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Wert
75298," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
24.1," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
2.1," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
56547," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
22330," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
10.7," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
300236," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
49788," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
22.2," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3.4," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
420094," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
57365," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
33.1," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
79857," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Wert
25609," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
19.6," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
5.8," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
155878," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
36581," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
23.6," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
5.2," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
79857," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
25609," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
19.6," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
5.8," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
590390," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
63396," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
31.6," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
3.2," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
50686," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
21343," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
17.9," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
6.9," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
204775," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
40698," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
28.1," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.9," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
334929," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
51336," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
39.1," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
5," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""...."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
110465," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Wert
28383," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
10.7," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
2.7," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....."""," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
47961," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
19180," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
9.5," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3.7," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
56643," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
20828," Online-Kauf von physischen Gütern: Möbel, Haushaltsartikel (Teppiche, Vorhänge) oder Gartenartikel (Werkzeuge, Pflanzen)",Frau,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
